ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
2014-09-07 07:30:00,38.71,37.72,36.72,35.72,34.72,33.72,32.72,31.72,30.72,29.72,28.72,27.72,26.72,25.72,24.72,23.72,22.72,21.72,20.73,19.75,18.75,17.76,16.76,15.76,14.76,13.76,12.76,11.76,10.76,9.76,8.99,7.99,6.99,5.99,4.99,3.99,2.99,1.99,1.0,0.0
2014-09-08 07:30:00,38.71,37.72,36.72,35.72,34.72,33.72,32.72,31.72,30.72,29.72,28.72,27.72,26.72,25.72,24.72,23.72,22.72,21.72,20.73,19.75,18.75,17.76,16.76,15.76,14.76,13.76,12.76,11.76,10.76,9.76,8.99,7.99,6.99,5.99,4.99,3.99,2.99,1.99,1.0,0.0
2014-09-09 07:30:00,38.71,37.72,36.72,35.72,34.72,33.72,32.72,31.72,30.72,29.72,28.72,27.72,26.72,25.72,24.72,23.72,22.72,21.72,20.73,19.75,18.75,17.76,16.76,15.76,14.76,13.76,12.76,11.76,10.76,9.76,8.99,7.99,6.99,5.99,4.99,3.99,2.99,1.99,1.0,0.0
2014-09-10 07:30:00,38.71,37.72,36.72,35.72,34.72,33.72,32.72,31.72,30.72,29.72,28.72,27.72,26.72,25.72,24.72,23.72,22.72,21.72,20.73,19.75,18.75,17.76,16.76,15.76,14.76,13.76,12.76,11.76,10.76,9.76,8.99,7.99,6.99,5.99,4.99,3.99,2.99,1.99,1.0,0.0
2014-09-11 07:30:00,38.71,37.72,36.72,35.72,34.72,33.72,32.72,31.72,30.72,29.72,28.72,27.72,26.72,25.72,24.72,23.72,22.72,21.72,20.73,19.75,18.75,17.76,16.76,15.76,14.76,13.76,12.76,11.76,10.76,9.76,8.99,7.99,6.99,5.99,4.99,3.99,2.99,1.99,1.0,0.0
2014-09-12 07:30:00,38.71,37.72,36.72,35.72,34.72,33.72,32.72,31.72,30.72,29.72,28.72,27.72,26.72,25.72,24.72,23.72,22.72,21.72,20.73,19.75,18.75,17.76,16.76,15.76,14.76,13.76,12.76,11.76,10.76,9.76,8.99,7.99,6.99,5.99,4.99,3.99,2.99,1.99,1.0,0.0
2014-09-13 07:30:00,38.71,37.72,36.72,35.72,34.72,33.72,32.72,31.72,30.72,29.72,28.72,27.72,26.72,25.72,24.72,23.72,22.72,21.72,20.73,19.75,18.75,17.76,16.76,15.76,14.76,13.76,12.76,11.76,10.76,9.76,8.99,7.99,6.99,5.99,4.99,3.99,2.99,1.99,1.0,0.0
2014-09-14 07:30:00,38.71,37.72,36.72,35.72,34.72,33.72,32.72,31.72,30.72,29.72,28.72,27.72,26.72,25.72,24.72,23.72,22.72,21.72,20.73,19.75,18.75,17.76,16.76,15.76,14.76,13.76,12.76,11.76,10.76,9.76,8.99,7.99,6.99,5.99,4.99,3.99,2.99,1.99,1.0,0.0
2014-09-15 07:30:00,38.71,37.72,36.72,35.72,34.72,33.72,32.72,31.72,30.72,29.72,28.72,27.72,26.72,25.72,24.72,23.72,22.72,21.72,20.73,19.75,18.75,17.76,16.76,15.76,14.76,13.76,12.76,11.76,10.76,9.76,8.99,7.99,6.99,5.99,4.99,3.99,2.99,1.99,1.0,0.0
2014-09-16 07:30:00,38.71,37.72,36.72,35.72,34.72,33.72,32.72,31.72,30.72,29.72,28.72,27.72,26.72,25.72,24.72,23.72,22.72,21.72,20.73,19.75,18.75,17.76,16.76,15.76,14.76,13.76,12.76,11.76,10.76,9.76,8.99,7.99,6.99,5.99,4.99,3.99,2.99,1.99,1.0,0.0
2014-09-17 07:30:00,38.71,37.72,36.72,35.72,34.72,33.72,32.72,31.72,30.72,29.72,28.72,27.72,26.72,25.72,24.72,23.72,22.72,21.72,20.73,19.75,18.75,17.76,16.76,15.76,14.76,13.76,12.76,11.76,10.76,9.76,8.99,7.99,6.99,5.99,4.99,3.99,2.99,1.99,1.0,0.0
