ts,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2014-08-23 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-24 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-25 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-26 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-27 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-28 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-29 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-30 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-08-31 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-01 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-02 07:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-09-03 07:30:00,-0.0044,-0.0051,-0.0048,-0.0031,-0.0028,-0.0024,-0.0029,-0.0026,-0.0019,-0.0015,-0.0022,-0.0021,-0.0017,-0.0023,-0.0019,-0.0012,-0.0011,-0.0012,-0.0011,-0.0025,-0.0016,-0.0016,-0.0007,-0.0007,-0.0011,0.0
2014-09-04 07:30:00,-0.01,-0.0109,-0.0102,-0.0082,-0.0035,-0.0034,-0.0035,-0.0031,-0.0027,-0.0018,-0.0022,-0.0021,-0.0021,-0.0024,-0.0023,-0.0012,-0.0014,-0.002,-0.0013,-0.0024,-0.0018,-0.0009,-0.0006,-0.0006,-0.001,0.0
2014-09-05 07:30:00,-0.0128,-0.0129,-0.0126,-0.0105,-0.0055,-0.0048,-0.0048,-0.0045,-0.0039,-0.0029,-0.0035,-0.0032,-0.0031,-0.0034,-0.0034,-0.0021,-0.0027,-0.0034,-0.003,-0.0039,-0.0032,-0.0032,-0.0006,-0.0006,-0.0009,0.0
2014-09-06 07:30:00,-0.0101,-0.0105,-0.0101,-0.0074,-0.0027,-0.0026,-0.0027,-0.0018,-0.0017,-0.0007,-0.0023,-0.0024,-0.0027,-0.0028,-0.0025,-0.0014,-0.0014,-0.0018,-0.0015,-0.0024,-0.0014,-0.0016,0.0,0.0,-0.0007,0.0
2014-09-07 07:30:00,-0.0077,-0.0078,-0.0075,-0.0051,0.0005,0.0,-0.0001,0.0,0.0006,0.0016,0.0006,-0.0001,-0.001,-0.0017,-0.0013,0.0001,0.0001,-0.0009,-0.0005,-0.0012,-0.0002,0.0004,0.0008,0.0008,-0.0001,0.0
2014-09-08 07:30:00,-0.0115,-0.0114,-0.0111,-0.0078,-0.0011,-0.0023,-0.0023,-0.0017,-0.0011,0.0,-0.0011,-0.0017,-0.0024,-0.0028,-0.0023,-0.0006,-0.0011,-0.0025,-0.0021,-0.0024,-0.0015,-0.0008,0.0008,0.0008,-0.0001,0.0
2014-09-09 07:30:00,-0.0126,-0.0123,-0.0133,-0.0092,-0.0013,-0.0035,-0.0038,-0.0031,-0.0038,-0.0028,-0.0037,-0.0038,-0.0048,-0.0049,-0.0046,-0.0026,-0.0023,-0.0037,-0.0033,-0.0037,-0.0026,-0.0016,-0.0003,-0.0003,-0.0006,0.0
2014-09-10 07:30:00,-0.0139,-0.014,-0.015,-0.0103,-0.0012,-0.0042,-0.0041,-0.0037,-0.0046,-0.0036,-0.0049,-0.0049,-0.0063,-0.0064,-0.0059,-0.0036,-0.0035,-0.0044,-0.0038,-0.0044,-0.0033,-0.0023,-0.0008,-0.0008,-0.0009,0.0
2014-09-11 07:30:00,-0.015,-0.0149,-0.0157,-0.0107,-0.0013,-0.0041,-0.0041,-0.0034,-0.0047,-0.0036,-0.0039,-0.0034,-0.005,-0.0059,-0.0058,-0.0027,-0.0011,-0.002,-0.0016,-0.0026,-0.0016,-0.001,0.0005,0.0005,-0.0006,0.0
2014-09-12 07:30:00,-0.0168,-0.0164,-0.0174,-0.0115,-0.0023,-0.0055,-0.0055,-0.0046,-0.0056,-0.0046,-0.0049,-0.0044,-0.0057,-0.0066,-0.0062,-0.0028,-0.0027,-0.0024,-0.0013,-0.003,-0.002,-0.0011,0.0012,0.0012,0.0001,0.0
2014-09-13 07:30:00,-0.0164,-0.0155,-0.0162,-0.0106,-0.0027,-0.0049,-0.0048,-0.0041,-0.005,-0.0039,-0.0018,-0.0035,-0.0048,-0.0059,-0.0055,-0.002,-0.0019,-0.0025,-0.0011,-0.0028,-0.0018,-0.0011,0.0009,0.0009,-0.0001,0.0
2014-09-14 07:30:00,-0.0129,-0.0136,-0.0146,-0.0089,-0.0039,-0.0058,-0.0057,-0.0046,-0.0055,-0.0042,-0.0022,-0.0042,-0.0059,-0.0069,-0.0069,-0.0024,-0.0023,-0.0034,-0.0018,-0.0037,-0.0027,-0.0018,0.0004,0.0004,-0.0006,0.0
2014-09-15 07:30:00,-0.0133,-0.0136,-0.0143,-0.0088,-0.0044,-0.0057,-0.0052,-0.0043,-0.0052,-0.0043,-0.0024,-0.0044,-0.0063,-0.0072,-0.0069,-0.0026,-0.0026,-0.0036,-0.002,-0.0041,-0.0032,-0.0022,-0.0009,-0.0009,-0.0009,0.0
2014-09-16 07:30:00,-0.0109,-0.0115,-0.0122,-0.0063,-0.0022,-0.0047,-0.0042,-0.0038,-0.0051,-0.0037,-0.002,-0.0037,-0.0057,-0.0067,-0.0064,-0.0014,-0.0014,-0.0027,-0.0014,-0.0041,-0.0034,-0.0028,-0.0011,-0.0011,-0.001,0.0
2014-09-17 07:30:00,-0.0134,-0.0137,-0.0144,-0.0086,-0.0047,-0.0063,-0.0062,-0.0056,-0.0076,-0.0066,-0.0047,-0.0067,-0.009,-0.0099,-0.0093,-0.0034,-0.0027,-0.0014,-0.0001,-0.0035,-0.0024,-0.0013,-0.0007,-0.0007,-0.0011,0.0
